,ngram,polarity
0,ngram,polarity
1,3 نجوم,-1
2,اسء,-1
3,اعد,1
4,بعد,-1
5,جزة,1
6,جمل,1
7,احس,1
8,حلى,1
9,حن ش,1
10,ارع,1
11,متع,1
12,متع,1
13,اسف,-1
14,اسء,-1
15,اسء,-1
16,سوء,-1
17,شكر,1
18,ضفة,1
19,اعد,1
20,فضل,1
21,اقل,-1
22,فضل,1
23,اكل,-1
24,ولى,1
25,قيم,-1
26,جمع,1
27,جمل,1
28,جمل,1
29,حشر,-1
30,رئح,-1
31,رئع,1
32,رئع,1
33,رحة,1
34,روع,1
35,سوء,-1
36,سيئ,-1
37,شطئ,1
38,شكر,1
39,صراصير,-1
40,صين,-1
41,فندق وعجب,1
42,مطعم المكشوف,1
43,غدر,-1
44,فضل,1
45,متز,1
46,مياه ضعيفه,-1
47,هدء,1
48,شكر,1
49,كاد,-1
50,بهظ,-1
51,بشع,-1
52,بطن,-1
53,عدم,-1
54,بعد,-1
55,تخر,-1
56,جنب,-1
57,جنب,-1
58,تحف,1
59,تحف,1
60,فقر,-1
61,توجد خدمه,1
62,جمل,1
63,جمل,1
64,جميل جدا,1
65,جمل,1
66,جمل,1
67,جيد,1
68,جيد جد,1
69,جيد,1
70,جيد,1
71,حبب,1
72,حسن,1
73,حشر,-1
74,حلو,1
75,خسر,-1
76,خيب,-1
77,رئح,-1
78,رئع,1
79,رئع,1
80,رئع,1
81,رئع,1
82,رئع,1
83,رقي,1
84,ردء,-1
85,ردئ,-1
86,رهب,-1
87,روع,1
88,روع,1
89,سئ,-1
90,سحر,1
91,سخف,-1
92,سرع,1
93,سرق,-1
94,سرق,-1
95,سرع,1
96,سعر مرتفع,-1
97,نعد,1
98,سوء,-1
99,سىء,-1
100,سيء,-1
101,سيئ,-1
102,ئ جد,-1
103,سيئ,-1
104,سيئ,-1
105,سيئ,-1
106,شكر,1
107,شكر,1
108,صغير جدا,-1
109,صغيره جدا,-1
110,صفر,-1
111,ضعف,-1
112,ضيق,-1
113,ضيق,-1
114,طوال الليل,-1
115,عدي,-1
116,علي,1
117,عجب,1
118,عظم,1
119,غلي,-1
120,غير نظيفة,-1
121,فخم,1
122,فضل,1
123,فظع,-1
124,فظع,-1
125,فعل,1
126,فوق المتوسط,1
127,قدم,-1
128,قدم,-1
129,قذر,-1
130,قذر,-1
131,قرب,1
132,قريب جدا,1
133,قيم,1
134,كرث,-1
135,كبر,1
136,كثيرة بالفندق,1
137,كره,-1
138, أنصح,-1
139, أص,-1
140, انصح,-1
141, قم,-1
142,لا يستحق,-1
143, يعمل,-1
144,وجد,-1
145,لذذ,1
146,لطف,1
147,لطف,1
148,اسف,-1
149,شمئزاز,-1
150,امل,-1
151,لم ,-1
152, أعود,-1
153, عد,-1
154, سئ,1
155,تسخ,-1
156,تسخ,-1
157,تمز,1
158,تمز,1
159,تهل,-1
160,توسط,-1
161,ثلي,1
162,مجا,1
163,جني,1
164,خلف,1
165,خيب,-1
166,ذهل,1
167,ذهل,1
168,مرض,-1
169,روع,-1
170,روع,-1
171,ريح,1
172,ريح,1
173,عقل,1
174,عقل,1
175,قزز,-1
176,مكب,-1
177,لئم,1
178,متز,1
179,ممتاز .,1
180,متز,1
181,متز,1
182,متع,1
183,ممل,-1
184,ميز,1
185,نسب,1
186,نجع,1
187,نظر,1
188,نجمة واحده,-1
189,نجم,-1
190,نجم,-1
191,نظف,1
192,نظف,1
193,نظف,1
194,تظر,-1
195,هدئ,1
196,هدئ,1
197,وسع,1
198,وسع,1
199,ودد,1
200,ودد,1
201,ودد,1
202,وعجبني الفطور,1
203,وقح,-1
204,قرب,1
205,ولا يوجد,-1
206,ولا يوجد,-1
207,ريح,1
208,ريح,1
209,نسب,1
210,نظف,1
211,نظف,1
212,وجد,1
213,متع,1
214,حاج,-1
215,سحق,1
216,ماز,1
217,نقص,-1
